,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Messenger,4,0.013037350246652568,0.03358993557583603
1,2Messenger,2,0.0,0.02142969184175537
2,Alice,11,0.1219344608879492,0.13156982091241498
3,Ambassador,25,0.7189570119802678,0.07718975816431158
4,Bardolph,6,0.012385482734319938,0.059455289092991775
5,Bates,1,0.0,0.11207966849329233
6,Bedford,4,0.0,0.12440845858542132
7,Bourbon,4,0.0,0.016333706191981663
8,Boy,8,0.16571529245947858,0.11242163408498225
9,Brittany,4,0.0,0.060342495371512456
10,Burgundy,7,0.013847780126849896,0.11254643953227486
11,Cambridge,4,0.0010570824524312897,0.11669980886076012
12,Canterbury,4,0.003946441155743482,0.16670711099401223
13,Constable,3,0.0,0.07565986372953286
14,Court,3,0.0,0.09339517106882754
15,Dauphin,6,0.07492952783650461,0.10936803098828893
16,Ely,8,0.2658033826638477,0.06972743856607859
17,Erpingham,8,0.14485553206483442,0.10180443726201678
18,Exeter,1,0.0,0.3155442731014889
19,Fluellen,8,0.10200845665961947,0.19024987509214147
20,FrenchKing,7,0.05655391120507397,0.23231605512825376
21,FrenchSoldier,3,0.0,0.04226154479568971
22,Gloucester,3,0.0,0.1702406681194382
23,Governor,1,0.0,0.07718975816431158
24,Gower,3,0.0,0.1867748810712997
25,Grandpre,3,0.0,0.010939395803038899
26,Grey,3,0.0,0.11669980886076012
27,Herald,2,0.0,0.07718975816431158
28,Hostess,5,0.012138830162085976,0.059455289092991775
29,Jamy,5,0.005461592670894996,0.06372870548671139
30,Katherine,4,0.0019027484143763216,0.13156982091241498
31,KingHenry,3,0.0,0.5338597152945613
32,Macmorris,2,0.0,0.06372870548671139
33,Montjoy,2,0.0,0.10180443726201678
34,Nym,3,0.0005285412262156448,0.059455289092991775
35,Orleans,4,0.00306553911205074,0.037308609022141656
36,Pistol,1,0.0,0.17986053291368473
37,QueenIsabel,3,0.005972515856236786,0.24453496593033597
38,Rambures,1,0.0,0.035245306067346924
39,Salisbury,2,0.0,0.1408012965310637
40,Scroop,2,0.0,0.15656020009480467
41,Warwick,1,0.0,0.027508274986046567
42,Westmorland,1,0.0,0.23385166713203945
43,Williams,7,0.022198731501057084,0.14790926475296173
44,York,2,0.0,0.07718975816431158
